job_id,export_duedate,invoice,gross_billed,bill_minus_postage,used_mock_price_per_click,price_per_click,quantity,gross_cost,profit_loss_amount,added_costs
61103,2018-12-06,230378,4839.45,2505.35,,0.15,13727,2084.05,421.3," | expensivePaperCost = 0.005 |  | inkjetCost = 0.02 |  | frontColorCost = 0.03 |  | backColorCost = 0.03 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
62156,2018-12-06,230357,343.64,153.23,,0.03,783,48.49,104.74," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
62233,2018-12-03,230302,217.7,102.2,,0.03,445,38.35,63.85," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
62300,2018-12-14,230360,169,91.47,,0.03,318,34.54,56.93," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
62341,2018-12-04,230358,1121.88,401.45,,0.03,4588,162.64,238.81," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
62397,2018-12-06,230431,267.97,122.28,,0.03,619,43.57,78.71," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
62410,2018-12-14,230624,145.42,73.97,,0.03,261,32.83,41.14," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
62458,2018-12-06,230429,3082.82,379.88,,0.02,10004,225.08,154.8," | postCardCost = 0.02 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
62564,2018-12-28,23078,1385.06,475.24,,0.02,5004,125.08,350.16," | postCardCost = 0.02 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
62565,2018-12-28,230879,1385.7,475.24,,0.02,5004,125.08,350.16," | postCardCost = 0.02 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
62610,2018-12-11,230610,1119.93,400.75,,0.03,4580,162.4,238.35," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
62651,2018-12-29,231015,7133.35,3802.91,,0.145,20281,2965.745,837.165," | expensivePaperCost = 0.005 |  | inkjetCost = 0.02 |  | frontColorCost = 0.03 |  | backColorCost = 0.03 |  | $BASE_COST = 0.06 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
62910,2018-12-20,230908,274.05,116.36,,0.03,577,42.31,74.05," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
62969,2018-12-19,230945,169.46,62.5,,0.03,680,45.4,17.1," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
63137,2018-12-27,231086,7067.17,2814.79,,0.06,24588,1500.28,1314.51," | purlsCost = 0.01 |  | $BASE_COST = 0.05 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
